{'time': 1.9468426704406738, 'x': -0.06297735891888749, 'y': -0.02750327388116173, 'z': 0.04519262738785739, 'yaw': 0.06935673209209454, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9568216800689697, 'x': -0.06294995792428672, 'y': -0.027490606637890186, 'z': 0.04518724293464893, 'yaw': 0.06943159497539873, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9667932987213135, 'x': -0.06298019581489063, 'y': -0.027490723564385717, 'z': 0.04522031626130529, 'yaw': 0.06960664028111982, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9767625331878662, 'x': -0.06298442738924404, 'y': -0.027511390797789304, 'z': 0.04519369993519345, 'yaw': 0.06969594805127265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9867420196533203, 'x': -0.06292543398234465, 'y': -0.027504118580215633, 'z': 0.04516805530546786, 'yaw': 0.06840502175369112, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9967117309570312, 'x': -0.06295845481547195, 'y': -0.02750053823562451, 'z': 0.04519475860431491, 'yaw': 0.06907545839934626, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.006901979446411, 'x': -0.06294044575211624, 'y': -0.02752176495980832, 'z': 0.04515918491629737, 'yaw': 0.06889660301364638, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.016880512237549, 'x': -0.06297929518084779, 'y': -0.027490622881115413, 'z': 0.04518206042854292, 'yaw': 0.06978112284547963, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0268537998199463, 'x': -0.062930644529173, 'y': -0.02750172958353107, 'z': 0.04522107153217228, 'yaw': 0.06850318535231166, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0378217697143555, 'x': -0.06295805013245984, 'y': -0.027495401804791007, 'z': 0.045207186817862594, 'yaw': 0.06959890297911459, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0467991828918457, 'x': -0.062956364959229, 'y': -0.027493457900467318, 'z': 0.045181461944693586, 'yaw': 0.06943944176565192, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0567684173583984, 'x': -0.06295025233362031, 'y': -0.027484284692869027, 'z': 0.04518097978176172, 'yaw': 0.06913465383038205, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.066746950149536, 'x': -0.06297302746531493, 'y': -0.027503353035193575, 'z': 0.04519224800388958, 'yaw': 0.0695361886884132, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0767173767089844, 'x': -0.06298665370258838, 'y': -0.027501270994493673, 'z': 0.045194847905441, 'yaw': 0.06987618504442174, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.086693525314331, 'x': -0.06295866660844168, 'y': -0.027514973430570817, 'z': 0.04517704918263936, 'yaw': 0.06863952200590617, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0966670513153076, 'x': -0.06296232470891679, 'y': -0.027506002656813626, 'z': 0.04519336145969986, 'yaw': 0.06967469580815112, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.106659173965454, 'x': -0.06294700565796633, 'y': -0.027493375513245807, 'z': 0.04520403964087181, 'yaw': 0.06968900169637096, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1166112422943115, 'x': -0.0629327070315355, 'y': -0.02750229248629492, 'z': 0.0451760097726285, 'yaw': 0.06855583132507698, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1265876293182373, 'x': -0.06293514942427915, 'y': -0.02750523903045135, 'z': 0.04517793568931711, 'yaw': 0.06871253356757925, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.137554883956909, 'x': -0.06298032956844732, 'y': -0.027505586034236577, 'z': 0.04520178775717763, 'yaw': 0.06961565206498584, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1465320587158203, 'x': -0.06296227247906855, 'y': -0.02749606360085392, 'z': 0.0451959984962535, 'yaw': 0.06921573999569368, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.15653657913208, 'x': -0.06296118775620893, 'y': -0.027486217188835906, 'z': 0.04515384388194857, 'yaw': 0.06976269172938229, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1664748191833496, 'x': -0.06296361446338478, 'y': -0.02749059475407893, 'z': 0.04520111682280775, 'yaw': 0.06978998654169488, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.176452398300171, 'x': -0.0629643627860659, 'y': -0.027499579143264084, 'z': 0.04520493672009901, 'yaw': 0.06924976761270009, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.18742299079895, 'x': -0.06298250363129075, 'y': -0.02749891049467201, 'z': 0.04522287479850591, 'yaw': 0.06972047271468011, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
