{'time': 1.9204628467559814, 'x': 0.014603045572654152, 'y': 0.01092169005645513, 'z': 0.06117653508698746, 'yaw': 0.002903069733140635, 'velocity': 0.005360117395044022, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9304282665252686, 'x': 0.014628380357318508, 'y': 0.010916444419446841, 'z': 0.06115971996728139, 'yaw': 0.002618176219948947, 'velocity': 0.003096345372502289, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9407167434692383, 'x': 0.014671880145066287, 'y': 0.01093228059421002, 'z': 0.06114672230752005, 'yaw': 0.002996645122518439, 'velocity': 0.004673460876340432, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.950690746307373, 'x': 0.014695433193884515, 'y': 0.010837370883755373, 'z': 0.06111158219757314, 'yaw': 0.0010798721758231078, 'velocity': 0.011570376005446704, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9606099128723145, 'x': 0.01467662941864944, 'y': 0.01086925923313541, 'z': 0.061079470122401565, 'yaw': 0.0016507911978442872, 'velocity': 0.004940583493940534, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9696552753448486, 'x': 0.014764894687396517, 'y': 0.010850081940645729, 'z': 0.061052102425874284, 'yaw': -0.002065711316033614, 'velocity': 0.011723883147595595, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9805285930633545, 'x': 0.014695088178179721, 'y': 0.010825197102345582, 'z': 0.0610955079465883, 'yaw': 0.0014628535952477136, 'velocity': 0.008607599546396862, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.990792989730835, 'x': 0.01465242349096145, 'y': 0.010919389881928783, 'z': 0.06112167108503507, 'yaw': 0.0028004140245709084, 'velocity': 0.01150487101088301, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.000760793685913, 'x': 0.014714265079272345, 'y': 0.010849345630858355, 'z': 0.0610895890933923, 'yaw': 0.001004552584360004, 'velocity': 0.00991109669122806, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.010033130645752, 'x': 0.014671442071309247, 'y': 0.010866180955985395, 'z': 0.061097525183410474, 'yaw': 0.0008121107601975579, 'velocity': 0.005035712472051753, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0200445652008057, 'x': 0.014582877113911572, 'y': 0.010915238501261455, 'z': 0.061183119659777525, 'yaw': 0.002576923946640457, 'velocity': 0.014698418816602095, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0304856300354004, 'x': 0.01472802337607554, 'y': 0.010929173846532254, 'z': 0.061082756959764645, 'yaw': 0.0004360362685858776, 'velocity': 0.020658744952634214, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.040764093399048, 'x': 0.014718912702132589, 'y': 0.010861381208398888, 'z': 0.06109987904882113, 'yaw': 0.0018182371517815722, 'velocity': 0.006860217675528181, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0497703552246094, 'x': 0.014716560165367418, 'y': 0.010849858236473895, 'z': 0.06111915657217423, 'yaw': 0.0017213148619492154, 'velocity': 0.002821411892588715, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0607056617736816, 'x': 0.014574682659773339, 'y': 0.010923246136506033, 'z': 0.061139610323249584, 'yaw': 0.0026625669931631393, 'velocity': 0.016153923585445266, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.070909023284912, 'x': 0.01460234030560753, 'y': 0.010909104840288461, 'z': 0.06116959119349651, 'yaw': 0.0027070600527665323, 'velocity': 0.004231100830144255, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0808539390563965, 'x': 0.014614583774737675, 'y': 0.010908416631725613, 'z': 0.061167207665257746, 'yaw': 0.0026543816607876485, 'velocity': 0.0012561486572793708, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0908594131469727, 'x': 0.014707733631231259, 'y': 0.010840729546368614, 'z': 0.06109065360520509, 'yaw': 0.0012194009248179343, 'velocity': 0.013819568296079035, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
