{'time': 1.9493017196655273, 'x': 0.0044329468932019795, 'y': 0.006391936136806458, 'z': 0.042853337187759175, 'yaw': 0.07216576012174872, 'velocity': 0.003272049274104189, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.959275722503662, 'x': 0.004404845482736271, 'y': 0.006389482547782104, 'z': 0.042837479755567905, 'yaw': 0.07262230312739601, 'velocity': 0.003604885473511895, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9692487716674805, 'x': 0.004425903235171588, 'y': 0.006374616993016979, 'z': 0.04280589875709197, 'yaw': 0.0718106871898442, 'velocity': 0.004556555267597498, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.979222059249878, 'x': 0.004422952543534452, 'y': 0.006392007259162142, 'z': 0.042852031157578095, 'yaw': 0.07179908839814242, 'velocity': 0.004952182122312998, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9901928901672363, 'x': 0.004448646891631442, 'y': 0.006342637125021801, 'z': 0.042854838664083884, 'yaw': 0.07197413655284825, 'velocity': 0.005079555022187576, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9991686344146729, 'x': 0.0044267474674580115, 'y': 0.00639856543131044, 'z': 0.042860702145309654, 'yaw': 0.07162519656363422, 'velocity': 0.006723508554794949, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.009141445159912, 'x': 0.004420805945702522, 'y': 0.006419916187443543, 'z': 0.042837358783189436, 'yaw': 0.07209843728866427, 'velocity': 0.003227578153048935, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0201127529144287, 'x': 0.004436844256900598, 'y': 0.006347757391233119, 'z': 0.042829162127339865, 'yaw': 0.07237206868060635, 'velocity': 0.00745701570846192, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.030085802078247, 'x': 0.004434755899574562, 'y': 0.006372748377509133, 'z': 0.04283027878592978, 'yaw': 0.07179860040614397, 'velocity': 0.0025170776573426265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.039062738418579, 'x': 0.004428270649317995, 'y': 0.006391379335226163, 'z': 0.04286341109727477, 'yaw': 0.07202486365563687, 'velocity': 0.004295520721580661, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0490269660949707, 'x': 0.004423115582166423, 'y': 0.006411988717887808, 'z': 0.04287764484936125, 'yaw': 0.07264230305861578, 'velocity': 0.002851649485211202, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0599989891052246, 'x': 0.004445411215374649, 'y': 0.006369019324437112, 'z': 0.042841893910800094, 'yaw': 0.07211932740566776, 'velocity': 0.005484829727658808, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0659830570220947, 'x': 0.004423418854367184, 'y': 0.006382425283816184, 'z': 0.042793409867190435, 'yaw': 0.07190458660899476, 'velocity': 0.009174477046934101, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.076110363006592, 'x': 0.0044133015808958545, 'y': 0.006381563250233027, 'z': 0.04282495251455444, 'yaw': 0.0723147649370024, 'velocity': 0.005520551155982173, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0897958278656006, 'x': 0.004444944760110858, 'y': 0.006358175089306171, 'z': 0.04283505329955007, 'yaw': 0.07177270952713607, 'velocity': 0.0029684168316431165, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
