{'time': 1.6800811290740967, 'x': -1.7240000000000304, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.686094045639038, 'x': -1.7235000000000305, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6915841102600098, 'x': -1.7230000000000305, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6972832679748535, 'x': -1.7225000000000306, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7027688026428223, 'x': -1.7220000000000306, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7089638710021973, 'x': -1.7215000000000307, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7144784927368164, 'x': -1.7210000000000307, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7204949855804443, 'x': -1.7205000000000308, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7260074615478516, 'x': -1.7200000000000308, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7314953804016113, 'x': -1.719500000000031, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.737009048461914, 'x': -1.719000000000031, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7425246238708496, 'x': -1.718500000000031, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.748105525970459, 'x': -1.718000000000031, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7536253929138184, 'x': -1.7175000000000311, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7591407299041748, 'x': -1.7170000000000312, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7646582126617432, 'x': -1.7165000000000312, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7701692581176758, 'x': -1.7160000000000313, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.775660753250122, 'x': -1.7155000000000313, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7816996574401855, 'x': -1.7150000000000314, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7872145175933838, 'x': -1.7145000000000314, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7927048206329346, 'x': -1.7140000000000315, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
